date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:54:03	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226717d337-239b%22	https://themewagon.github.io/robots.txt		(from )
08:54:03	32192/32192	---M-Z	200	added ('OK')	text/html	etag:W/%22639af7b1-7dc0%22	https://themewagon.github.io/devfolio/	C:/My%20Web%20Sites/Portfolio/themewagon.github.io/devfolio/index.html	(from )
08:54:03	491/491	---M--	200	added ('OK')	image/png	etag:%22639af7b1-1eb%22	https://themewagon.github.io/devfolio/img/favicon.png	C:/My%20Web%20Sites/Portfolio/themewagon.github.io/devfolio/img/favicon.png	(from https://themewagon.github.io/devfolio/)
08:54:03	1738/1738	---M--	200	added ('OK')	image/png	etag:%22639af7b1-6ca%22	https://themewagon.github.io/devfolio/img/apple-touch-icon.png	C:/My%20Web%20Sites/Portfolio/themewagon.github.io/devfolio/img/apple-touch-icon.png	(from https://themewagon.github.io/devfolio/)
08:54:04	140936/140936	---M-Z	200	added ('OK')	text/css	etag:W/%22639af7b1-22688%22	https://themewagon.github.io/devfolio/lib/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Portfolio/themewagon.github.io/devfolio/lib/bootstrap/css/bootstrap.min.css	(from https://themewagon.github.io/devfolio/)
08:54:04	31000/31000	---M-Z	200	added ('OK')	text/css	etag:W/%22639af7b1-7918%22	https://themewagon.github.io/devfolio/lib/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/Portfolio/themewagon.github.io/devfolio/lib/font-awesome/css/font-awesome.min.css	(from https://themewagon.github.io/devfolio/)
08:54:04	57987/57987	---M-Z	200	added ('OK')	text/css	etag:W/%22639af7b1-e283%22	https://themewagon.github.io/devfolio/lib/animate/animate.min.css	C:/My%20Web%20Sites/Portfolio/themewagon.github.io/devfolio/lib/animate/animate.min.css	(from https://themewagon.github.io/devfolio/)
08:54:04	51284/51284	---M-Z	200	added ('OK')	text/css	etag:W/%22639af7b1-c854%22	https://themewagon.github.io/devfolio/lib/ionicons/css/ionicons.min.css	C:/My%20Web%20Sites/Portfolio/themewagon.github.io/devfolio/lib/ionicons/css/ionicons.min.css	(from https://themewagon.github.io/devfolio/)
08:54:04	3351/3351	---M-Z	200	added ('OK')	text/css	etag:W/%22639af7b1-d17%22	https://themewagon.github.io/devfolio/lib/owlcarousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/Portfolio/themewagon.github.io/devfolio/lib/owlcarousel/assets/owl.carousel.min.css	(from https://themewagon.github.io/devfolio/)
08:54:05	2608/2608	---M-Z	200	added ('OK')	text/css	etag:W/%22639af7b1-a30%22	https://themewagon.github.io/devfolio/lib/lightbox/css/lightbox.min.css	C:/My%20Web%20Sites/Portfolio/themewagon.github.io/devfolio/lib/lightbox/css/lightbox.min.css	(from https://themewagon.github.io/devfolio/)
08:54:05	20697/20697	---M-Z	200	added ('OK')	text/css	etag:W/%22639af7b1-50d9%22	https://themewagon.github.io/devfolio/css/style.css	C:/My%20Web%20Sites/Portfolio/themewagon.github.io/devfolio/css/style.css	(from https://themewagon.github.io/devfolio/)
08:54:05	69999/69999	---M--	200	added ('OK')	image/jpeg	etag:%22639af7b1-1116f%22	https://themewagon.github.io/devfolio/img/intro-bg.jpg	C:/My%20Web%20Sites/Portfolio/themewagon.github.io/devfolio/img/intro-bg.jpg	(from https://themewagon.github.io/devfolio/)
08:54:05	19693/19693	---M--	200	added ('OK')	image/jpeg	etag:%22639af7b1-4ced%22	https://themewagon.github.io/devfolio/img/testimonial-2.jpg	C:/My%20Web%20Sites/Portfolio/themewagon.github.io/devfolio/img/testimonial-2.jpg	(from https://themewagon.github.io/devfolio/)
08:54:06	204076/204076	---M--	200	added ('OK')	image/jpeg	etag:%22639af7b1-31d2c%22	https://themewagon.github.io/devfolio/img/counters-bg.jpg	C:/My%20Web%20Sites/Portfolio/themewagon.github.io/devfolio/img/counters-bg.jpg	(from https://themewagon.github.io/devfolio/)
08:54:06	34619/34619	---M--	200	added ('OK')	image/jpeg	etag:%22639af7b1-873b%22	https://themewagon.github.io/devfolio/img/work-1.jpg	C:/My%20Web%20Sites/Portfolio/themewagon.github.io/devfolio/img/work-1.jpg	(from https://themewagon.github.io/devfolio/)
08:54:06	37691/37691	---M--	200	added ('OK')	image/jpeg	etag:%22639af7b1-933b%22	https://themewagon.github.io/devfolio/img/work-2.jpg	C:/My%20Web%20Sites/Portfolio/themewagon.github.io/devfolio/img/work-2.jpg	(from https://themewagon.github.io/devfolio/)
08:54:06	117477/117477	---M--	200	added ('OK')	image/jpeg	etag:%22639af7b1-1cae5%22	https://themewagon.github.io/devfolio/img/work-3.jpg	C:/My%20Web%20Sites/Portfolio/themewagon.github.io/devfolio/img/work-3.jpg	(from https://themewagon.github.io/devfolio/)
08:54:06	71108/71108	---M--	200	added ('OK')	image/jpeg	etag:%22639af7b1-115c4%22	https://themewagon.github.io/devfolio/img/work-4.jpg	C:/My%20Web%20Sites/Portfolio/themewagon.github.io/devfolio/img/work-4.jpg	(from https://themewagon.github.io/devfolio/)
08:54:07	223008/223008	---M--	200	added ('OK')	image/jpeg	etag:%22639af7b1-36720%22	https://themewagon.github.io/devfolio/img/work-5.jpg	C:/My%20Web%20Sites/Portfolio/themewagon.github.io/devfolio/img/work-5.jpg	(from https://themewagon.github.io/devfolio/)
08:54:07	131884/131884	---M--	200	added ('OK')	image/jpeg	etag:%22639af7b1-2032c%22	https://themewagon.github.io/devfolio/img/work-6.jpg	C:/My%20Web%20Sites/Portfolio/themewagon.github.io/devfolio/img/work-6.jpg	(from https://themewagon.github.io/devfolio/)
